 Steps         KinEng         PotEng         TotEng          dE_dN        ElecNum       RxnCoord      MeanForce
     0       0.000000  -11412.984395  -11412.984395        -3.1056         0.0000           2.60       0.005290
     1       0.163975  -11412.984395  -11412.810693        -3.0235         0.0000           2.60       0.005290
     2       0.160191  -11412.988656  -11412.828466        -3.0608         0.0000           2.60      -0.007032
     3       0.160191  -11412.988656  -11412.828466        -2.0845         0.0000           2.60       0.005290
     4       0.160191  -11412.988656  -11412.828466        -3.0303         0.0000           2.60       0.005290
     5       0.157189  -11412.988656  -11412.837528        -3.1248         0.0000           2.60      -0.007032
     6       0.157189  -11412.988656  -11412.837528        -1.8863         0.0000           2.60       0.005290
     7       0.147723  -11412.988656  -11412.830634        -3.3145         0.0000           2.60      -0.007032
     8       0.147723  -11412.985281  -11412.837558        -4.0124        -0.0278           2.60      -0.007088
     9       0.147723  -11412.985281  -11412.837558        -2.0451        -0.0278           2.60      -0.007088
    10       0.147723  -11412.985281  -11412.837558        -3.1645        -0.0278           2.60      -0.007088
    11       0.147723  -11412.985281  -11412.837558        -4.0136        -0.0278           2.60       0.005290
    12       0.147723  -11412.985281  -11412.837558        -2.7713        -0.0278           2.60      -0.007088
    13       0.147723  -11412.985281  -11412.837558        -4.0604        -0.0278           2.60       0.005290
    14       0.159712  -11412.985281  -11412.820439        -4.0221        -0.0278           2.60      -0.007088
    15       0.159712  -11412.983759  -11412.824047        -4.4079        -0.0383           2.60      -0.007114
    16       0.147548  -11412.983759  -11412.835863        -4.5186        -0.0383           2.60      -0.007114
    17       0.147548  -11412.983759  -11412.835863        -6.6457        -0.0383           2.60      -0.007114
    18       0.160045  -11412.984623  -11412.824579        -4.3477        -0.0383           2.60      -0.012971
    19       0.136692  -11412.982419  -11412.845727        -4.4323        -0.0383           2.60      -0.013555
    20       0.136692  -11412.980649  -11412.843957        -4.8607        -0.0494           2.60      -0.013580
    21       0.146358  -11412.980649  -11412.834411        -4.9124        -0.0494           2.60      -0.013580
    22       0.144313  -11412.980649  -11412.834821        -4.8855        -0.0494           2.60      -0.013580
    23       0.144309  -11412.980649  -11412.834183        -4.9335        -0.0494           2.60      -0.013580
    24       0.144309  -11412.980649  -11412.834183        -5.1898        -0.0494           2.60       0.005290
    25       0.144309  -11412.980649  -11412.834183        -7.1029        -0.0494           2.60      -0.013580
    26       0.144309  -11412.984009  -11412.839700        -4.0263        -0.0274           2.60      -0.013534
    27       0.144309  -11412.984009  -11412.839700        -4.0882        -0.0274           2.60       0.005290
    28       0.154024  -11412.984009  -11412.833769        -4.0281        -0.0274           2.60      -0.013534
    29       0.154024  -11412.984009  -11412.833769        -4.1472        -0.0274           2.60       0.005290
    30       0.148888  -11412.984009  -11412.826813        -4.1806        -0.0274           2.60      -0.013534
    31       0.138205  -11412.984009  -11412.845499        -4.1113        -0.0274           2.60      -0.013534
    32       0.154478  -11412.984009  -11412.806777        -4.1647        -0.0274           2.60      -0.013534
    33       0.151781  -11412.984009  -11412.820706        -4.0551        -0.0274           2.60      -0.013534
    34       0.151781  -11412.984009  -11412.820706        -6.7420        -0.0274           2.60      -0.013534
    35       0.152202  -11412.984009  -11412.829337        -4.1644        -0.0274           2.60      -0.013534
    36       0.158006  -11412.985339  -11412.827332        -3.9646        -0.0274           2.60      -0.007208
    37       0.158006  -11412.985339  -11412.827332        -6.7327        -0.0274           2.60      -0.013534
    38       0.158006  -11412.985339  -11412.827332        -5.9726        -0.0274           2.60      -0.013534
    39       0.150696  -11412.985339  -11412.825599        -3.9449        -0.0274           2.60      -0.007208
    40       0.150696  -11412.973378  -11412.822682        -6.5207        -0.0937           2.60      -0.007416
    41       0.135886  -11412.973378  -11412.824442        -6.4454        -0.0937           2.60      -0.007416
    42       0.135886  -11412.973378  -11412.824442        -6.3405        -0.0937           2.60       0.005290
    43       0.137395  -11412.973378  -11412.813111        -6.3435        -0.0937           2.60      -0.007416
    44       0.136437  -11412.973378  -11412.825501        -6.6403        -0.0937           2.60      -0.007416
    45       0.131992  -11412.974847  -11412.842855        -6.5631        -0.0937           2.60      -0.004486
    46       0.173947  -11412.974847  -11412.784872        -6.5019        -0.0937           2.60      -0.004486
    47       0.173947  -11412.984176  -11412.810229        -4.7099        -0.0457           2.60      -0.004323
    48       0.155550  -11412.984176  -11412.827398        -4.7039        -0.0457           2.60      -0.004323
    49       0.132186  -11412.984176  -11412.855051        -4.6017        -0.0457           2.60      -0.004323
    50       0.132186  -11412.984176  -11412.855051        -7.1628        -0.0457           2.60      -0.004323
    51       0.159878  -11412.984176  -11412.819378        -4.6911        -0.0457           2.60      -0.004323
    52       0.159878  -11412.984176  -11412.819378        -6.8531        -0.0457           2.60      -0.004323
    53       0.141282  -11412.975491  -11412.834209        -4.7393        -0.0457           2.60      -0.003472
    54       0.141282  -11412.975491  -11412.834209        -4.6922        -0.0457           2.60       0.005290
    55       0.141282  -11412.975491  -11412.834209        -4.5488        -0.0457           2.60       0.005290
    56       0.149799  -11412.975491  -11412.827048        -4.5664        -0.0457           2.60      -0.003472
    57       0.160128  -11412.975491  -11412.823404        -4.6211        -0.0457           2.60      -0.003472
    58       0.160128  -11412.974979  -11412.814851        -4.8606        -0.0488           2.60      -0.003480
    59       0.148520  -11412.976611  -11412.828091        -4.7623        -0.0488           2.60       0.001148
    60       0.148520  -11412.981326  -11412.832806        -3.5910        -0.0160           2.60       0.001230
    61       0.148520  -11412.981326  -11412.832806        -2.2560        -0.0160           2.60       0.001230
    62       0.148520  -11412.981326  -11412.832806        -6.1026        -0.0160           2.60       0.001230
    63       0.148520  -11412.981326  -11412.832806        -3.5681        -0.0160           2.60       0.005290
    64       0.160665  -11412.981326  -11412.816201        -3.5954        -0.0160           2.60       0.001230
    65       0.155587  -11412.981129  -11412.825542        -3.4710        -0.0160           2.60       0.000809
    66       0.155587  -11412.978280  -11412.822693        -4.2245        -0.0375           2.60       0.000765
    67       0.155587  -11412.979037  -11412.823450        -4.0300        -0.0322           2.60       0.000777
    68       0.138251  -11412.980701  -11412.842450        -4.1658        -0.0322           2.60      -0.003422
    69       0.138251  -11412.986271  -11412.848020        -2.7020         0.0154           2.60      -0.003329
    70       0.138251  -11412.981671  -11412.843420        -3.9243        -0.0252           2.60      -0.003406
    71       0.144944  -11412.981671  -11412.832221        -3.9340        -0.0252           2.60      -0.003406
    72       0.150770  -11412.981671  -11412.834311        -3.8329        -0.0252           2.60      -0.003406
    73       0.150776  -11412.981671  -11412.824117        -3.6843        -0.0252           2.60      -0.003406
    74       0.150776  -11412.987194  -11412.836418        -2.4368         0.0258           2.60      -0.003311
    75       0.135949  -11412.987194  -11412.842078        -2.3249         0.0258           2.60      -0.003311
    76       0.122777  -11412.987194  -11412.858227        -2.4318         0.0258           2.60      -0.003311
    77       0.122777  -11412.983532  -11412.860755        -3.4452        -0.0106           2.60      -0.003376
    78       0.158972  -11412.983532  -11412.802075        -3.2606        -0.0106           2.60      -0.003376
    79       0.138723  -11412.978748  -11412.840025        -3.4394        -0.0106           2.60      -0.011420
    80       0.138723  -11412.978878  -11412.840155        -3.4042        -0.0094           2.60      -0.011419
    81       0.138723  -11412.972191  -11412.833468        -5.0736        -0.0556           2.60      -0.011506
    82       0.138723  -11412.972191  -11412.833468        -7.1669        -0.0556           2.60      -0.011506
    83       0.138723  -11412.980056  -11412.841332        -3.0817         0.0011           2.60      -0.011404
    84       0.138723  -11412.973140  -11412.834417        -4.8567        -0.0500           2.60      -0.011494
    85       0.138723  -11412.973140  -11412.834417        -6.2523        -0.0500           2.60      -0.011494
    86       0.164941  -11412.973140  -11412.820254        -5.0011        -0.0500           2.60      -0.011494
    87       0.164941  -11412.975934  -11412.810993        -4.1770        -0.0320           2.60      -0.011457
    88       0.164941  -11412.975934  -11412.810993        -4.2752        -0.0320           2.60       0.005290
    89       0.164941  -11412.975934  -11412.810993        -4.1461        -0.0320           2.60       0.005290
    90       0.164941  -11412.979958  -11412.815016        -3.1088         0.0002           2.60      -0.011405
    91       0.143318  -11412.985753  -11412.842435        -2.9950         0.0002           2.60      -0.005464
