 Steps         KinEng         PotEng         TotEng          dE_dN        ElecNum       RxnCoord      MeanForce
    72       0.147231  -11412.944158  -11412.796927        -2.5774        -0.0252           0.40      -0.007499
    73       0.151390  -11412.944158  -11412.789633        -2.5037        -0.0252           0.40      -0.007499
    74       0.151390  -11412.935576  -11412.784185        -4.9177        -0.0913           0.40      -0.008525
    75       0.151390  -11412.938750  -11412.787360        -4.2487        -0.0712           0.40      -0.008280
    76       0.166571  -11412.932206  -11412.765635        -4.2112        -0.0712           0.40      -0.010915
    77       0.153943  -11412.938421  -11412.784479        -4.4146        -0.0712           0.40      -0.011581
    78       0.163945  -11412.938421  -11412.781810        -4.4498        -0.0712           0.40      -0.011581
    79       0.161233  -11412.938027  -11412.776794        -4.2861        -0.0712           0.40      -0.004721
    80       0.161233  -11412.938027  -11412.776794        -6.1906        -0.0712           0.40      -0.008280
    81       0.172917  -11412.938027  -11412.782698        -4.2302        -0.0712           0.40      -0.004721
    82       0.178238  -11412.946743  -11412.768505        -4.6602        -0.0712           0.40      -0.007080
    83       0.153754  -11412.946743  -11412.791300        -4.4157        -0.0712           0.40      -0.007080
    84       0.149243  -11412.946743  -11412.795586        -4.3223        -0.0712           0.40      -0.007080
    85       0.138056  -11412.942402  -11412.804347        -4.3989        -0.0712           0.40      -0.007195
    86       0.138056  -11412.944520  -11412.806464        -3.8529        -0.0563           0.40      -0.006957
    87       0.156651  -11412.952984  -11412.796333        -3.9656        -0.0563           0.40      -0.009072
    88       0.156651  -11412.952984  -11412.796333        -1.5437        -0.0563           0.40      -0.006957
    89       0.160617  -11412.952984  -11412.784869        -3.6356        -0.0563           0.40      -0.009072
    90       0.136808  -11412.950650  -11412.813841        -3.7931        -0.0563           0.40      -0.010161
    91       0.145609  -11412.950650  -11412.800935        -3.9447        -0.0563           0.40      -0.010161
    92       0.152137  -11412.950650  -11412.783656        -3.8777        -0.0563           0.40      -0.010161
    93       0.152137  -11412.951155  -11412.799018        -3.7833        -0.0563           0.40      -0.010969
    94       0.139759  -11412.951155  -11412.802425        -3.9657        -0.0563           0.40      -0.010969
    95       0.128579  -11412.951155  -11412.806618        -3.9749        -0.0563           0.40      -0.010969
    96       0.157008  -11412.947257  -11412.790249        -4.0839        -0.0563           0.40      -0.015678
    97       0.149771  -11412.940798  -11412.791027        -3.7966        -0.0563           0.40      -0.017097
    98       0.150704  -11412.940798  -11412.783534        -4.0983        -0.0563           0.40      -0.017097
    99       0.150704  -11412.943297  -11412.792592        -2.9743        -0.0349           0.40      -0.016753
   100       0.150704  -11412.942642  -11412.791938        -3.2080        -0.0410           0.40      -0.016859
   101       0.150704  -11412.942642  -11412.791938        -3.2079        -0.0410           0.40      -0.016858
   102       0.179271  -11412.933968  -11412.754697        -3.4269        -0.0410           0.40      -0.008101
   103       0.173817  -11412.948318  -11412.774501        -3.4498        -0.0410           0.40      -0.009282
   104       0.173817  -11412.948704  -11412.774886        -3.3286        -0.0377           0.40      -0.009216
   105       0.173817  -11412.951213  -11412.777396        -2.4375        -0.0124           0.40      -0.008678
   106       0.173817  -11412.946348  -11412.772531        -4.0190        -0.0563           0.40      -0.009568
   107       0.173817  -11412.949509  -11412.775692        -3.0634        -0.0304           0.40      -0.009068
   108       0.173817  -11412.942853  -11412.769036        -4.8548        -0.0792           0.40      -0.009943
   109       0.173817  -11412.942853  -11412.769036        -5.1404        -0.0792           0.40      -0.010969
   110       0.160576  -11412.942853  -11412.781367        -4.6570        -0.0792           0.40      -0.009943
   111       0.160576  -11412.942853  -11412.781367        -6.1962        -0.0792           0.40      -0.009943
   112       0.160576  -11412.942853  -11412.781367        -4.9220        -0.0792           0.40      -0.010969
   113       0.160576  -11412.945706  -11412.785130        -4.1881        -0.0609           0.40      -0.009648
   114       0.164747  -11412.945706  -11412.778620        -4.0459        -0.0609           0.40      -0.009648
   115       0.164747  -11412.945706  -11412.778620        -5.6660        -0.0609           0.40      -0.009648
   116       0.164747  -11412.945706  -11412.778620        -2.3956        -0.0609           0.40      -0.009648
   117       0.164747  -11412.940424  -11412.775677        -5.3264        -0.0930           0.40      -0.010138
   118       0.147219  -11412.940424  -11412.780139        -5.0548        -0.0930           0.40      -0.010138
   119       0.147219  -11412.946316  -11412.799097        -4.0276        -0.0566           0.40      -0.009572
   120       0.129042  -11412.946316  -11412.808179        -3.8033        -0.0566           0.40      -0.009572
   121       0.147588  -11412.946316  -11412.797808        -3.9195        -0.0566           0.40      -0.009572
   122       0.144482  -11412.946316  -11412.797212        -3.8448        -0.0566           0.40      -0.009572
   123       0.144482  -11412.946833  -11412.802352        -3.8861        -0.0528           0.40      -0.009504
   124       0.156908  -11412.946833  -11412.783708        -3.7135        -0.0528           0.40      -0.009504
   125       0.149420  -11412.948011  -11412.798591        -3.6999        -0.0528           0.40      -0.002457
   126       0.149420  -11412.950616  -11412.801196        -2.8394        -0.0296           0.40      -0.001999
   127       0.149420  -11412.950616  -11412.801196        -2.0369        -0.0296           0.40      -0.001999
   128       0.149420  -11412.950616  -11412.801196        -2.8532        -0.0296           0.40      -0.010969
   129       0.149420  -11412.950581  -11412.801161        -2.8395        -0.0296           0.40      -0.001877
   130       0.149420  -11412.950581  -11412.801161        -3.2250        -0.0296           0.40      -0.001877
   131       0.149420  -11412.950581  -11412.801161        -0.5272        -0.0296           0.40      -0.001999
   132       0.158319  -11412.947217  -11412.788898        -2.7652        -0.0296           0.40      -0.022205
   133       0.158319  -11412.947073  -11412.788754        -2.8182        -0.0311           0.40      -0.022237
   134       0.158319  -11412.947073  -11412.788754        -1.0685        -0.0311           0.40      -0.022237
   135       0.157789  -11412.947073  -11412.797183        -3.0732        -0.0311           0.40      -0.022237
   136       0.157789  -11412.947073  -11412.797183        -2.2529        -0.0311           0.40      -0.022237
   137       0.157789  -11412.944407  -11412.786619        -3.6714        -0.0550           0.40      -0.022712
   138       0.157789  -11412.945553  -11412.787764        -3.3314        -0.0455           0.40      -0.022532
   139       0.157789  -11412.946065  -11412.788276        -3.1673        -0.0409           0.40      -0.022441
   140       0.157789  -11412.945740  -11412.787951        -3.2726        -0.0438           0.40      -0.022500
   141       0.144562  -11412.945740  -11412.802644        -3.3555        -0.0438           0.40      -0.022500
   142       0.144562  -11412.945740  -11412.802644        -1.6462        -0.0438           0.40      -0.022500
   143       0.144562  -11412.945740  -11412.802644        -2.1390        -0.0438           0.40      -0.022500
   144       0.166728  -11412.954225  -11412.787497        -3.2431        -0.0438           0.40      -0.001617
   145       0.161204  -11412.941974  -11412.780769        -3.1944        -0.0438           0.40      -0.014268
   146       0.168148  -11412.941974  -11412.783236        -3.1326        -0.0438           0.40      -0.014268
   147       0.159270  -11412.939611  -11412.780341        -3.3322        -0.0438           0.40      -0.009827
   148       0.157800  -11412.936013  -11412.778213        -3.3290        -0.0438           0.40      -0.019383
   149       0.163737  -11412.940075  -11412.776338        -3.3803        -0.0438           0.40      -0.005847
   150       0.139332  -11412.937122  -11412.797790        -3.2610        -0.0438           0.40      -0.021477
   151       0.139332  -11412.937565  -11412.798233        -3.1159        -0.0398           0.40      -0.021411
   152       0.159558  -11412.937565  -11412.763463        -3.1682        -0.0398           0.40      -0.021411
   153       0.154764  -11412.947168  -11412.792405        -3.1723        -0.0398           0.40      -0.002729
   154       0.152365  -11412.944075  -11412.791710        -3.1520        -0.0398           0.40      -0.011512
   155       0.178591  -11412.945268  -11412.766677        -3.3894        -0.0398           0.40      -0.005968
   156       0.157861  -11412.942404  -11412.784543        -3.2571        -0.0398           0.40      -0.005801
   157       0.157861  -11412.942404  -11412.784543        -2.4111        -0.0398           0.40      -0.021411
   158       0.157861  -11412.942404  -11412.784543        -3.2909        -0.0398           0.40      -0.001877
   159       0.157861  -11412.942404  -11412.784543        -3.2472        -0.0398           0.40      -0.001877
   160       0.157861  -11412.936273  -11412.778412        -4.7959        -0.0838           0.40      -0.006566
   161       0.157861  -11412.935754  -11412.777893        -4.8958        -0.0870           0.40      -0.006609
   162       0.157861  -11412.935754  -11412.777893        -4.9703        -0.0870           0.40      -0.001877
   163       0.153819  -11412.931099  -11412.777279        -4.8999        -0.0870           0.40       0.007732
   164       0.158751  -11412.931314  -11412.772562        -4.8168        -0.0870           0.40      -0.005828
   165       0.135812  -11412.920020  -11412.784208        -4.8263        -0.0870           0.40      -0.010245
   166       0.135812  -11412.926988  -11412.791176        -3.0692        -0.0360           0.40      -0.009567
   167       0.135812  -11412.926988  -11412.791176        -1.5440        -0.0360           0.40      -0.009567
   168       0.176661  -11412.937414  -11412.760754        -3.1771        -0.0360           0.40      -0.000473
   169       0.176661  -11412.937414  -11412.760754        -1.3911        -0.0360           0.40      -0.009567
   170       0.161403  -11412.937414  -11412.785269        -3.0741        -0.0360           0.40      -0.000473
   171       0.161403  -11412.937414  -11412.785269        -3.2427        -0.0360           0.40      -0.001877
   172       0.161403  -11412.937414  -11412.785269        -5.1131        -0.0360           0.40      -0.009567
   173       0.161403  -11412.937094  -11412.775692        -3.2794        -0.0389           0.40      -0.000526
   174       0.161403  -11412.937094  -11412.775692        -5.6083        -0.0389           0.40      -0.000526
   175       0.161403  -11412.926191  -11412.764788        -5.6187        -0.1093           0.40      -0.001476
   176       0.161548  -11412.926191  -11412.769447        -5.8318        -0.1093           0.40      -0.001476
   177       0.161548  -11412.926291  -11412.764744        -5.5778        -0.1093           0.40       0.001796
   178       0.161548  -11412.935354  -11412.773807        -3.7480        -0.0533           0.40       0.002521
   179       0.161548  -11412.936368  -11412.774820        -3.4570        -0.0451           0.40       0.002660
   180       0.161548  -11412.936368  -11412.774820        -3.3944        -0.0451           0.40       0.001796
   181       0.161548  -11412.936368  -11412.774820        -5.1968        -0.0451           0.40       0.002660
   182       0.145718  -11412.933094  -11412.787376        -3.6006        -0.0451           0.40      -0.000152
   183       0.145718  -11412.933094  -11412.787376        -1.4726        -0.0451           0.40       0.002660
   184       0.145718  -11412.931311  -11412.785593        -3.6432        -0.0451           0.40      -0.000527
   185       0.150216  -11412.930148  -11412.779932        -3.5993        -0.0451           0.40       0.003451
   186       0.150216  -11412.931787  -11412.781571        -3.6667        -0.0451           0.40      -0.008287
   187       0.154659  -11412.931526  -11412.776867        -3.8284        -0.0451           0.40      -0.011781
   188       0.151214  -11412.938871  -11412.787657        -3.9333        -0.0451           0.40      -0.009387
   189       0.151214  -11412.938871  -11412.787657        -6.3459        -0.0451           0.40       0.002745
   190       0.151214  -11412.938871  -11412.787657        -4.2690        -0.0451           0.40      -0.008287
   191       0.151214  -11412.936359  -11412.785145        -4.5700        -0.0623           0.40      -0.009688
   192       0.157939  -11412.924623  -11412.766684        -4.5316        -0.0623           0.40      -0.002976
   193       0.157939  -11412.924623  -11412.766684        -4.6836        -0.0623           0.40      -0.008287
   194       0.157939  -11412.924723  -11412.766783        -4.5072        -0.0616           0.40      -0.002964
   195       0.176857  -11412.945498  -11412.768641        -4.4322        -0.0616           0.40      -0.005186
   196       0.176857  -11412.944324  -11412.767467        -4.7118        -0.0691           0.40      -0.005320
   197       0.176857  -11412.947700  -11412.770842        -3.8374        -0.0462           0.40      -0.004884
   198       0.176857  -11412.948540  -11412.771683        -3.5828        -0.0396           0.40      -0.004745
   199       0.131108  -11412.948540  -11412.794826        -3.6834        -0.0396           0.40      -0.004745
   200       0.153687  -11412.948540  -11412.796423        -3.6373        -0.0396           0.40      -0.004745
   201       0.153687  -11412.948540  -11412.796423        -5.2686        -0.0396           0.40      -0.004745
   202       0.157641  -11412.948540  -11412.790952        -3.5403        -0.0396           0.40      -0.004745
   203       0.157641  -11412.948540  -11412.790952        -5.5679        -0.0396           0.40      -0.004745
   204       0.157641  -11412.946941  -11412.789300        -4.0535        -0.0518           0.40      -0.004997
   205       0.157641  -11412.946941  -11412.789300        -5.4607        -0.0518           0.40      -0.004997
   206       0.156107  -11412.944153  -11412.788046        -3.8920        -0.0518           0.40      -0.017992
   207       0.154544  -11412.944153  -11412.790625        -4.0107        -0.0518           0.40      -0.017992
   208       0.154544  -11412.941747  -11412.787203        -4.5255        -0.0684           0.40      -0.018254
   209       0.154544  -11412.945129  -11412.790585        -3.5994        -0.0442           0.40      -0.017860
   210       0.138116  -11412.945129  -11412.794301        -3.5664        -0.0442           0.40      -0.017860
   211       0.145158  -11412.945129  -11412.808575        -3.4062        -0.0442           0.40      -0.017860
   212       0.145158  -11412.945129  -11412.808575        -2.2174        -0.0442           0.40      -0.017860
   213       0.145158  -11412.945129  -11412.808575        -1.3303        -0.0442           0.40      -0.017860
   214       0.156270  -11412.931530  -11412.775260        -3.6534        -0.0442           0.40      -0.021707
   215       0.156270  -11412.929333  -11412.773063        -4.2692        -0.0603           0.40      -0.021954
   216       0.168238  -11412.929333  -11412.767441        -4.1490        -0.0603           0.40      -0.021954
   217       0.146093  -11412.929333  -11412.789706        -4.1792        -0.0603           0.40      -0.021954
   218       0.146093  -11412.929333  -11412.789706        -2.1496        -0.0603           0.40      -0.021954
   219       0.146093  -11412.929739  -11412.783646        -4.2775        -0.0603           0.40      -0.019087
   220       0.146093  -11412.929739  -11412.783646        -6.3440        -0.0603           0.40      -0.021698
   221       0.179533  -11412.938839  -11412.759306        -4.5014        -0.0603           0.40      -0.014591
   222       0.179533  -11412.945541  -11412.766008        -2.3460        -0.0031           0.40      -0.013547
   223       0.147764  -11412.942595  -11412.794831        -2.1093        -0.0031           0.40      -0.012232
   224       0.147764  -11412.933847  -11412.786083        -4.8507        -0.0763           0.40      -0.013504
   225       0.147764  -11412.933847  -11412.786083        -4.7932        -0.0763           0.40      -0.019087
   226       0.147233  -11412.928150  -11412.780917        -4.8748        -0.0763           0.40      -0.013166
   227       0.147233  -11412.924627  -11412.777394        -5.5625        -0.0959           0.40      -0.013407
   228       0.147233  -11412.924627  -11412.777394        -7.2935        -0.0959           0.40      -0.013407
   229       0.147233  -11412.927899  -11412.780665        -4.9293        -0.0778           0.40      -0.013185
   230       0.147233  -11412.934570  -11412.787337        -3.1053        -0.0296           0.40      -0.012413
   231       0.147233  -11412.934570  -11412.787337        -3.2544        -0.0296           0.40      -0.019087
   232       0.147233  -11412.934570  -11412.787337        -3.2090        -0.0296           0.40      -0.019087
   233       0.147233  -11412.933116  -11412.785883        -3.5818        -0.0423           0.40      -0.012646
   234       0.159274  -11412.933116  -11412.791113        -3.4232        -0.0423           0.40      -0.012646
   235       0.159274  -11412.933116  -11412.791113        -1.9464        -0.0423           0.40      -0.012646
   236       0.152737  -11412.945043  -11412.792306        -3.6010        -0.0423           0.40      -0.013207
   237       0.152737  -11412.945043  -11412.792306        -1.3075        -0.0423           0.40      -0.012646
   238       0.139794  -11412.945043  -11412.799818        -3.6886        -0.0423           0.40      -0.013207
   239       0.139794  -11412.947396  -11412.807602        -2.7872        -0.0209           0.40      -0.012762
   240       0.139794  -11412.943154  -11412.803360        -4.1492        -0.0564           0.40      -0.013465
   241       0.139794  -11412.943154  -11412.803360        -1.8437        -0.0564           0.40      -0.013465
   242       0.139794  -11412.943154  -11412.803360        -2.1434        -0.0564           0.40      -0.013465
   243       0.139794  -11412.943154  -11412.803360        -6.0103        -0.0564           0.40      -0.013465
   244       0.133829  -11412.945313  -11412.811484        -4.1782        -0.0564           0.40      -0.016417
   245       0.133829  -11412.951362  -11412.817533        -2.1386        -0.0004           0.40      -0.015237
   246       0.129874  -11412.951362  -11412.809865        -2.0546        -0.0004           0.40      -0.015237
   247       0.129874  -11412.945733  -11412.815859        -4.0656        -0.0534           0.40      -0.016366
   248       0.129874  -11412.946018  -11412.816144        -3.9875        -0.0514           0.40      -0.016329
   249       0.129874  -11412.946018  -11412.816144        -1.4820        -0.0514           0.40      -0.016329
   250       0.160824  -11412.950790  -11412.789966        -3.9554        -0.0514           0.40      -0.016738
   251       0.143467  -11412.950790  -11412.803631        -4.0632        -0.0514           0.40      -0.016738
   252       0.153475  -11412.950790  -11412.785161        -3.8455        -0.0514           0.40      -0.016738
   253       0.153475  -11412.950790  -11412.785161        -6.2634        -0.0514           0.40      -0.016329
   254       0.168456  -11412.950790  -11412.790772        -3.6632        -0.0514           0.40      -0.016738
   255       0.168456  -11412.950320  -11412.781865        -3.9423        -0.0514           0.40      -0.016569
   256       0.156880  -11412.950320  -11412.793649        -3.9539        -0.0514           0.40      -0.016569
   257       0.156880  -11412.950320  -11412.793649        -4.9478        -0.0514           0.40      -0.016266
   258       0.156880  -11412.950196  -11412.793316        -3.9766        -0.0523           0.40      -0.016587
   259       0.156880  -11412.950196  -11412.793316        -4.9511        -0.0523           0.40      -0.016587
   260       0.139894  -11412.950196  -11412.816346        -4.1615        -0.0523           0.40      -0.016587
   261       0.150662  -11412.950196  -11412.783354        -4.1560        -0.0523           0.40      -0.016587
   262       0.150662  -11412.950196  -11412.783354        -4.0319        -0.0523           0.40      -0.016569
   263       0.150662  -11412.950196  -11412.783354        -5.6128        -0.0523           0.40      -0.016587
   264       0.153306  -11412.950196  -11412.785827        -3.8082        -0.0523           0.40      -0.016587
   265       0.153306  -11412.950196  -11412.785827        -5.5760        -0.0523           0.40      -0.016587
   266       0.153306  -11412.951760  -11412.798454        -3.5208        -0.0402           0.40      -0.016352
   267       0.136124  -11412.950417  -11412.814293        -3.5860        -0.0402           0.40      -0.004613
   268       0.152681  -11412.950417  -11412.780882        -3.5326        -0.0402           0.40      -0.004613
   269       0.144948  -11412.950417  -11412.794566        -3.5484        -0.0402           0.40      -0.004613
   270       0.144948  -11412.950417  -11412.794566        -2.0293        -0.0402           0.40      -0.016352
   271       0.174955  -11412.950417  -11412.776400        -3.3891        -0.0402           0.40      -0.004613
   272       0.174955  -11412.950362  -11412.775408        -3.5860        -0.0402           0.40      -0.004902
   273       0.174955  -11412.950362  -11412.775408        -5.5385        -0.0402           0.40      -0.016373
   274       0.174955  -11412.950362  -11412.775408        -3.5816        -0.0402           0.40      -0.004902
   275       0.137626  -11412.950362  -11412.800715        -3.5719        -0.0402           0.40      -0.004902
   276       0.137626  -11412.950362  -11412.800715        -1.8392        -0.0402           0.40      -0.016373
   277       0.166729  -11412.950362  -11412.792480        -3.4526        -0.0402           0.40      -0.004902
   278       0.162761  -11412.950362  -11412.770924        -3.4692        -0.0402           0.40      -0.004902
   279       0.144414  -11412.945404  -11412.800990        -3.5971        -0.0402           0.40      -0.000613
   280       0.144414  -11412.945404  -11412.800990        -5.0966        -0.0402           0.40      -0.016373
   281       0.144414  -11412.938324  -11412.793910        -5.2271        -0.0866           0.40      -0.001562
   282       0.169140  -11412.940941  -11412.771801        -5.2978        -0.0866           0.40      -0.006990
   283       0.133921  -11412.940941  -11412.814724        -5.2673        -0.0866           0.40      -0.006990
   284       0.133921  -11412.949743  -11412.815822        -3.0549        -0.0257           0.40      -0.005805
   285       0.133921  -11412.949913  -11412.815991        -2.9942        -0.0241           0.40      -0.005766
   286       0.133921  -11412.949913  -11412.815991        -3.1411        -0.0241           0.40      -0.004902
   287       0.133921  -11412.949913  -11412.815991        -1.9292        -0.0241           0.40      -0.005766
   288       0.151926  -11412.949913  -11412.810505        -3.0977        -0.0241           0.40      -0.005766
   289       0.151926  -11412.945666  -11412.793741        -4.2786        -0.0580           0.40      -0.006503
   290       0.151926  -11412.946696  -11412.794770        -4.2537        -0.0580           0.40      -0.004889
   291       0.151926  -11412.946696  -11412.794770        -4.8013        -0.0580           0.40      -0.006500
   292       0.148213  -11412.946696  -11412.801977        -4.1955        -0.0580           0.40      -0.004889
   293       0.162237  -11412.946696  -11412.782883        -4.1583        -0.0580           0.40      -0.004889
   294       0.162237  -11412.947030  -11412.784794        -4.1664        -0.0557           0.40      -0.004847
   295       0.147546  -11412.947030  -11412.795489        -4.0091        -0.0557           0.40      -0.004847
   296       0.151753  -11412.947030  -11412.795048        -4.1024        -0.0557           0.40      -0.004847
   297       0.151753  -11412.949242  -11412.797489        -3.5281        -0.0390           0.40      -0.004518
   298       0.151753  -11412.949517  -11412.797764        -3.4403        -0.0367           0.40      -0.004469
   299       0.151753  -11412.949517  -11412.797764        -1.0059        -0.0367           0.40      -0.004469
   300       0.151753  -11412.949517  -11412.797764        -3.4345        -0.0367           0.40      -0.004889
   301       0.130915  -11412.949517  -11412.806747        -3.5761        -0.0367           0.40      -0.004469
   302       0.141999  -11412.949517  -11412.806374        -3.1964        -0.0367           0.40      -0.004469
   303       0.141999  -11412.942822  -11412.800823        -5.1232        -0.0819           0.40      -0.005281
   304       0.141999  -11412.942822  -11412.800823        -5.0061        -0.0819           0.40      -0.004889
   305       0.158760  -11412.942822  -11412.792260        -5.0943        -0.0819           0.40      -0.005281
   306       0.158760  -11412.951869  -11412.793109        -2.5944        -0.0140           0.40      -0.003954
   307       0.158558  -11412.951869  -11412.787949        -2.4438        -0.0140           0.40      -0.003954
   308       0.158558  -11412.945642  -11412.787085        -4.5148        -0.0649           0.40      -0.005011
   309       0.158558  -11412.945642  -11412.787085        -6.2992        -0.0649           0.40      -0.005011
   310       0.158558  -11412.948935  -11412.790377        -3.6237        -0.0415           0.40      -0.004570
   311       0.163038  -11412.948935  -11412.780838        -3.5777        -0.0415           0.40      -0.004570
   312       0.163038  -11412.948935  -11412.780838        -1.5628        -0.0415           0.40      -0.004570
   313       0.163038  -11412.948952  -11412.785914        -3.6185        -0.0413           0.40      -0.004567
   314       0.164403  -11412.949629  -11412.785227        -3.6589        -0.0413           0.40      -0.007526
   315       0.164403  -11412.949629  -11412.785227        -5.9743        -0.0413           0.40      -0.004567
