 Steps         KinEng         PotEng         TotEng          dE_dN        ElecNum       RxnCoord      MeanForce
     0       0.000000  -11412.940760  -11412.940760        -3.3684         0.0000           1.20      -0.024365
     1       0.141149  -11412.945466  -11412.804317        -3.1831         0.0000           1.20      -0.010443
     2       0.149209  -11412.945850  -11412.796641        -3.1783         0.0000           1.20      -0.017453
     3       0.149209  -11412.945766  -11412.796557        -3.1793         0.0000           1.20      -0.017391
     4       0.149209  -11412.945766  -11412.796557        -2.1029         0.0000           1.20      -0.024347
     5       0.149209  -11412.945554  -11412.796345        -3.2344        -0.0019           1.20      -0.017410
     6       0.149209  -11412.948824  -11412.799615        -2.3490         0.0323           1.20      -0.017024
     7       0.169593  -11412.952668  -11412.783075        -2.4812         0.0323           1.20      -0.018284
     8       0.169593  -11412.955662  -11412.786069        -1.5496         0.0756           1.20      -0.017756
     9       0.169593  -11412.955662  -11412.786069         0.0496         0.0756           1.20      -0.017756
    10       0.162670  -11412.960757  -11412.798087        -1.5817         0.0756           1.20      -0.005385
    11       0.162670  -11412.954986  -11412.792316        -3.1713         0.0037           1.20      -0.006220
    12       0.131413  -11412.964013  -11412.832600        -3.2519         0.0037           1.20      -0.014925
    13       0.131413  -11412.964013  -11412.832600        -2.2115         0.0037           1.20      -0.006220
    14       0.131413  -11412.964013  -11412.832600        -1.6821         0.0037           1.20      -0.006220
    15       0.159703  -11412.964013  -11412.807017        -3.2611         0.0037           1.20      -0.014925
    16       0.159703  -11412.960891  -11412.801188        -4.0103        -0.0213           1.20      -0.015155
    17       0.159703  -11412.955587  -11412.795884        -5.2448        -0.0547           1.20      -0.015375
    18       0.159703  -11412.956823  -11412.797120        -4.9661        -0.0477           1.20      -0.015336
    19       0.159703  -11412.956823  -11412.797120        -5.6975        -0.0477           1.20      -0.015336
    20       0.142219  -11412.955555  -11412.813336        -4.7749        -0.0477           1.20      -0.005305
    21       0.137821  -11412.955555  -11412.808263        -4.7564        -0.0477           1.20      -0.005305
    22       0.159162  -11412.942829  -11412.783667        -4.9293        -0.0477           1.20      -0.013732
    23       0.159162  -11412.942965  -11412.783803        -4.9270        -0.0477           1.20      -0.013468
    24       0.155345  -11412.933761  -11412.778416        -4.8763        -0.0477           1.20      -0.020009
    25       0.176498  -11412.945450  -11412.768952        -4.8864        -0.0477           1.20      -0.008557
    26       0.176498  -11412.952487  -11412.775988        -3.1872         0.0036           1.20      -0.008175
    27       0.176498  -11412.952487  -11412.775988        -2.5326         0.0036           1.20      -0.008175
    28       0.176498  -11412.955444  -11412.778945        -2.4470         0.0342           1.20      -0.007811
    29       0.176498  -11412.955444  -11412.778945        -2.4076         0.0342           1.20      -0.013468
    30       0.176498  -11412.955846  -11412.779347        -2.3426         0.0391           1.20      -0.007745
    31       0.176498  -11412.955846  -11412.779347        -2.3554         0.0391           1.20      -0.013468
    32       0.176498  -11412.948674  -11412.772175        -4.1209        -0.0269           1.20      -0.008435
    33       0.142832  -11412.950188  -11412.807356        -3.9866        -0.0269           1.20      -0.013948
    34       0.142832  -11412.950188  -11412.807356        -3.9997        -0.0269           1.20      -0.013468
    35       0.154159  -11412.950188  -11412.783550        -4.1294        -0.0269           1.20      -0.013948
    36       0.154159  -11412.947292  -11412.793133        -4.6865        -0.0463           1.20      -0.014082
    37       0.140926  -11412.947292  -11412.803696        -4.5260        -0.0463           1.20      -0.014082
    38       0.140926  -11412.947292  -11412.803696        -5.6618        -0.0463           1.20      -0.014082
    39       0.140926  -11412.952289  -11412.811363        -3.4624        -0.0105           1.20      -0.013803
    40       0.140926  -11412.945503  -11412.804578        -5.1014        -0.0569           1.20      -0.014139
    41       0.146733  -11412.949476  -11412.802743        -5.1158        -0.0569           1.20      -0.016465
    42       0.146733  -11412.958023  -11412.811290        -2.9768         0.0055           1.20      -0.015981
    43       0.142693  -11412.963336  -11412.820643        -3.1806         0.0055           1.20      -0.017025
    44       0.132879  -11412.963336  -11412.818652        -3.3516         0.0055           1.20      -0.017025
    45       0.132879  -11412.963643  -11412.830764        -3.1052         0.0084           1.20      -0.016989
    46       0.132879  -11412.962723  -11412.829844        -3.3306         0.0001           1.20      -0.017091
    47       0.153401  -11412.953556  -11412.800155        -3.4241         0.0001           1.20      -0.009747
    48       0.144318  -11412.953556  -11412.812970        -3.1288         0.0001           1.20      -0.009747
    49       0.144318  -11412.953556  -11412.812970        -3.3790         0.0001           1.20      -0.013468
    50       0.144318  -11412.953556  -11412.812970        -2.5506         0.0001           1.20      -0.017091
    51       0.144318  -11412.953556  -11412.812970        -3.4398         0.0001           1.20      -0.013468
    52       0.144318  -11412.953294  -11412.808976        -3.4853        -0.0021           1.20      -0.009772
    53       0.175864  -11412.944587  -11412.768723        -3.4360        -0.0021           1.20      -0.018035
    54       0.175864  -11412.944587  -11412.768723        -3.3057        -0.0021           1.20      -0.013468
    55       0.175864  -11412.941941  -11412.766077        -4.0521        -0.0227           1.20      -0.018199
    56       0.175864  -11412.941941  -11412.766077        -6.0854        -0.0227           1.20      -0.018199
    57       0.175864  -11412.944898  -11412.769034        -3.3638         0.0005           1.20      -0.018010
    58       0.171591  -11412.946403  -11412.774812        -3.3264         0.0005           1.20      -0.011435
    59       0.171591  -11412.946403  -11412.774812        -5.8994         0.0005           1.20      -0.018010
    60       0.157076  -11412.946403  -11412.794950        -3.3022         0.0005           1.20      -0.011435
    61       0.150826  -11412.946403  -11412.794524        -3.4622         0.0005           1.20      -0.011435
    62       0.150826  -11412.939303  -11412.788478        -5.0140        -0.0495           1.20      -0.011762
    63       0.142363  -11412.938313  -11412.795950        -4.9209        -0.0495           1.20      -0.014685
    64       0.142363  -11412.938313  -11412.795950        -5.7704        -0.0495           1.20      -0.011762
    65       0.142363  -11412.938313  -11412.795950        -5.5344        -0.0495           1.20      -0.011762
    66       0.142363  -11412.938313  -11412.795950        -5.4978        -0.0495           1.20      -0.011762
    67       0.142363  -11412.938313  -11412.795950        -7.0136        -0.0495           1.20      -0.011762
    68       0.174334  -11412.938313  -11412.755348        -5.0811        -0.0495           1.20      -0.014685
    69       0.174334  -11412.946141  -11412.771807        -3.0408         0.0085           1.20      -0.014161
    70       0.162914  -11412.946141  -11412.777190        -3.3530         0.0085           1.20      -0.014161
    71       0.151743  -11412.946141  -11412.793167        -3.1139         0.0085           1.20      -0.014161
    72       0.151743  -11412.935554  -11412.783812        -5.5395        -0.0648           1.20      -0.014771
    73       0.151743  -11412.935554  -11412.783812        -7.0344        -0.0648           1.20      -0.014771
    74       0.151743  -11412.946167  -11412.794424        -3.0345         0.0088           1.20      -0.014158
    75       0.151743  -11412.946090  -11412.794348        -3.0532         0.0081           1.20      -0.014167
    76       0.146920  -11412.946090  -11412.790595        -3.1006         0.0081           1.20      -0.014167
    77       0.150176  -11412.946090  -11412.793893        -3.3472         0.0081           1.20      -0.014167
    78       0.150176  -11412.946090  -11412.793893        -2.0184         0.0081           1.20      -0.014167
    79       0.150176  -11412.946090  -11412.793893        -2.3445         0.0081           1.20      -0.014167
    80       0.150176  -11412.946090  -11412.793893        -3.1629         0.0081           1.20      -0.013468
    81       0.170707  -11412.946090  -11412.774539        -3.2708         0.0081           1.20      -0.014167
    82       0.132592  -11412.946090  -11412.801284        -3.1378         0.0081           1.20      -0.014167
    83       0.132592  -11412.946090  -11412.801284        -2.5681         0.0081           1.20      -0.014167
    84       0.144234  -11412.946640  -11412.802406        -3.3513         0.0081           1.20      -0.008386
    85       0.138792  -11412.946640  -11412.806247        -3.3434         0.0081           1.20      -0.008386
    86       0.168232  -11412.946640  -11412.778326        -3.1184         0.0081           1.20      -0.008386
    87       0.168232  -11412.940827  -11412.772594        -4.6543        -0.0345           1.20      -0.008750
    88       0.168232  -11412.940827  -11412.772594        -5.5415        -0.0345           1.20      -0.008750
    89       0.168232  -11412.942451  -11412.774219        -4.2909        -0.0239           1.20      -0.008676
    90       0.142426  -11412.942451  -11412.799915        -4.4088        -0.0239           1.20      -0.008676
    91       0.142426  -11412.942451  -11412.799915        -5.9516        -0.0239           1.20      -0.008676
    92       0.169983  -11412.942451  -11412.778600        -4.2007        -0.0239           1.20      -0.008676
    93       0.169983  -11412.946687  -11412.776703        -3.3410         0.0085           1.20      -0.008381
    94       0.169983  -11412.942921  -11412.772937        -4.1854        -0.0207           1.20      -0.008652
    95       0.169983  -11412.940710  -11412.770727        -4.6803        -0.0352           1.20      -0.008754
    96       0.169983  -11412.949210  -11412.779226        -2.7776         0.0325           1.20      -0.008095
    97       0.169983  -11412.949210  -11412.779226        -2.2792         0.0325           1.20      -0.008095
    98       0.162641  -11412.949210  -11412.786865        -2.8391         0.0325           1.20      -0.008095
    99       0.154253  -11412.949210  -11412.786325        -2.6973         0.0325           1.20      -0.008095
   100       0.138195  -11412.949210  -11412.806922        -2.7480         0.0325           1.20      -0.008095
   101       0.158403  -11412.955044  -11412.796641        -2.7699         0.0325           1.20      -0.018758
   102       0.146978  -11412.955044  -11412.808263        -2.6315         0.0325           1.20      -0.018758
   103       0.146978  -11412.945822  -11412.798844        -4.8195        -0.0399           1.20      -0.019436
   104       0.146978  -11412.945822  -11412.798844        -7.3576        -0.0399           1.20      -0.019436
   105       0.146978  -11412.945822  -11412.798844        -7.4510        -0.0399           1.20      -0.019436
   106       0.146978  -11412.946347  -11412.799369        -4.7966        -0.0399           1.20      -0.011777
   107       0.159146  -11412.946347  -11412.783641        -4.8525        -0.0399           1.20      -0.011777
   108       0.154372  -11412.946861  -11412.792489        -4.6125        -0.0399           1.20      -0.015754
   109       0.154372  -11412.946861  -11412.792489        -5.6541        -0.0399           1.20      -0.019429
   110       0.154372  -11412.953183  -11412.798811        -3.1383         0.0080           1.20      -0.015396
   111       0.161890  -11412.955935  -11412.794044        -3.1483         0.0080           1.20      -0.016533
