 Steps         KinEng         PotEng         TotEng          dE_dN        ElecNum       RxnCoord      MeanForce
     0       0.000000  -11412.987048  -11412.987048        -3.4453         0.0000           0.00      -0.018406
     1       0.000000  -11412.986489  -11412.986489        -3.5636        -0.0046           0.00      -0.018498
     2       0.145051  -11412.987466  -11412.842415        -3.4729        -0.0046           0.00      -0.001752
     3       0.145051  -11412.987780  -11412.842729        -3.4671        -0.0046          -0.00      -0.003200
     4       0.179679  -11412.986038  -11412.806359        -3.4053        -0.0046          -0.00       0.004952
     5       0.156000  -11412.986038  -11412.825576        -3.4730        -0.0046          -0.00       0.004952
     6       0.146924  -11412.986038  -11412.829485        -3.3727        -0.0046          -0.00       0.004952
     7       0.145301  -11412.989412  -11412.844111        -3.3271        -0.0046          -0.00       0.016667
     8       0.134348  -11412.998047  -11412.863699        -3.4274        -0.0046          -0.00       0.001044
     9       0.136166  -11412.998215  -11412.862049        -3.6200        -0.0046          -0.00      -0.002813
    10       0.136166  -11412.992272  -11412.856106        -4.9273        -0.0453          -0.00      -0.003610
    11       0.136166  -11413.000351  -11412.864185        -3.1529         0.0137          -0.00      -0.002408
    12       0.136166  -11413.000745  -11412.864579        -3.0673         0.0174          -0.00      -0.002322
    13       0.136166  -11413.000745  -11412.864579        -2.0860         0.0174          -0.00      -0.002322
    14       0.140232  -11413.000745  -11412.850701        -2.8617         0.0174          -0.00      -0.002322
    15       0.140232  -11413.000745  -11412.850701        -2.0292         0.0174          -0.00      -0.002322
    16       0.140232  -11413.000745  -11412.850701        -2.5427         0.0174          -0.00      -0.002322
    17       0.144749  -11412.997856  -11412.853107        -2.9007         0.0174          -0.00       0.011838
    18       0.136199  -11412.996464  -11412.860264        -3.0028         0.0174          -0.00       0.001408
    19       0.136199  -11412.992164  -11412.855964        -3.9454        -0.0188          -0.00       0.000715
    20       0.136199  -11412.992153  -11412.855954        -3.9465        -0.0188           0.00       0.000739
    21       0.149004  -11412.992153  -11412.831908        -3.9139        -0.0188           0.00       0.000739
    22       0.149004  -11412.992153  -11412.831908        -5.9335        -0.0188           0.00       0.000715
    23       0.149004  -11412.992153  -11412.831908        -5.6705        -0.0188           0.00       0.000715
    24       0.166904  -11412.993367  -11412.826464        -3.8731        -0.0188           0.00       0.013072
    25       0.147544  -11412.993133  -11412.845589        -4.2600        -0.0188          -0.00       0.004679
    26       0.147544  -11412.993826  -11412.846282        -4.1179        -0.0140          -0.00       0.004764
    27       0.147544  -11412.993826  -11412.846282        -5.3484        -0.0140          -0.00       0.004764
    28       0.149001  -11412.997044  -11412.848043        -3.8983        -0.0140          -0.00       0.004620
    29       0.149001  -11412.991533  -11412.842532        -5.0792        -0.0498          -0.00       0.003982
    30       0.149001  -11413.000047  -11412.851046        -3.2532         0.0104          -0.00       0.005095
    31       0.149001  -11412.996664  -11412.847663        -3.9807        -0.0168          -0.00       0.004568
    32       0.135699  -11412.996664  -11412.847577        -4.0068        -0.0168          -0.00       0.004568
    33       0.135699  -11412.998589  -11412.862890        -3.5646        -0.0020          -0.00       0.004849
    34       0.136161  -11412.998589  -11412.850847        -3.4302        -0.0020          -0.00       0.004849
    35       0.136161  -11412.998384  -11412.862224        -3.5584        -0.0020           0.00       0.004028
    36       0.129916  -11412.996052  -11412.866136        -3.6659        -0.0020           0.00      -0.005921
    37       0.159682  -11412.995762  -11412.836080        -3.6965        -0.0020           0.00       0.006238
    38       0.140963  -11412.984657  -11412.843694        -3.7775        -0.0020          -0.00      -0.005695
    39       0.140963  -11412.984763  -11412.843800        -3.7746        -0.0020          -0.00      -0.005431
    40       0.120074  -11412.978202  -11412.858128        -3.5163        -0.0020          -0.00       0.005983
    41       0.160372  -11412.979341  -11412.818969        -3.5734        -0.0020           0.00       0.010103
    42       0.160372  -11412.979341  -11412.818969        -3.5667        -0.0020           0.00      -0.005431
    43       0.161094  -11412.979341  -11412.803940        -3.5461        -0.0020           0.00       0.010103
    44       0.156277  -11412.979341  -11412.815454        -3.4890        -0.0020           0.00       0.010103
    45       0.156277  -11412.969771  -11412.813494        -5.6046        -0.0633           0.00       0.009109
    46       0.152619  -11412.973194  -11412.820575        -5.6669        -0.0633           0.00       0.014138
    47       0.152619  -11412.980827  -11412.828208        -4.0541        -0.0175           0.00       0.014853
    48       0.152619  -11412.980827  -11412.828208        -3.1537        -0.0175           0.00       0.014853
    49       0.152619  -11412.980827  -11412.828208        -5.8405        -0.0175           0.00       0.014853
    50       0.157259  -11412.980827  -11412.806748        -4.0076        -0.0175           0.00       0.014853
    51       0.157259  -11412.980827  -11412.806748        -4.2854        -0.0175           0.00      -0.005431
    52       0.170888  -11412.980827  -11412.792818        -3.9275        -0.0175           0.00       0.014853
    53       0.170888  -11412.980827  -11412.792818        -2.4036        -0.0175           0.00       0.014853
    54       0.170888  -11412.980827  -11412.792818        -6.1468        -0.0175           0.00       0.014853
    55       0.137843  -11412.971402  -11412.833559        -4.1294        -0.0175           0.00       0.001939
    56       0.147791  -11412.971763  -11412.823972        -4.1723        -0.0175           0.00      -0.005558
    57       0.151216  -11412.974420  -11412.823204        -4.3026        -0.0175          -0.00      -0.004125
    58       0.152829  -11412.975811  -11412.822983        -4.2082        -0.0175          -0.00      -0.005863
    59       0.152829  -11412.977711  -11412.824882        -3.7940        -0.0037          -0.00      -0.005640
    60       0.133126  -11412.979444  -11412.846318        -3.9482        -0.0037           0.00      -0.007611
    61       0.133126  -11412.980000  -11412.846874        -3.9493        -0.0037          -0.00      -0.007650
    62       0.133126  -11412.980000  -11412.846874        -3.3056        -0.0037          -0.00      -0.005640
    63       0.133126  -11412.985395  -11412.852269        -2.8743         0.0427          -0.00      -0.006929
    64       0.144542  -11412.978203  -11412.833662        -2.6790         0.0427           0.00      -0.002253
    65       0.144542  -11412.978203  -11412.833662        -1.8073         0.0427           0.00      -0.006929
    66       0.144542  -11412.969340  -11412.824799        -4.6100        -0.0298           0.00      -0.003469
    67       0.144542  -11412.966054  -11412.821512        -5.3243        -0.0490           0.00      -0.003748
    68       0.144542  -11412.969674  -11412.825132        -4.5362        -0.0277           0.00      -0.003438
    69       0.144542  -11412.969674  -11412.825132        -4.5905        -0.0277           0.00      -0.007650
    70       0.178382  -11412.969674  -11412.800167        -4.4727        -0.0277           0.00      -0.003438
    71       0.145230  -11412.978772  -11412.833542        -4.6356        -0.0277           0.00       0.001010
    72       0.154845  -11412.978772  -11412.821435        -4.5028        -0.0277           0.00       0.001010
    73       0.154845  -11412.978772  -11412.821435        -2.8077        -0.0277           0.00      -0.003438
    74       0.154845  -11412.978772  -11412.821435        -4.8062        -0.0277           0.00      -0.003438
    75       0.154845  -11412.986036  -11412.831191        -3.1229         0.0276           0.00       0.001890
    76       0.153152  -11412.995132  -11412.841980        -3.0206         0.0276           0.00      -0.000663
    77       0.153152  -11412.995132  -11412.841980        -3.0398         0.0276           0.00      -0.007650
    78       0.144830  -11412.995132  -11412.860598        -3.0660         0.0276           0.00      -0.000663
    79       0.144830  -11412.994292  -11412.849462        -3.1983         0.0197           0.00      -0.000795
    80       0.154034  -11412.994292  -11412.839234        -3.1431         0.0197           0.00      -0.000795
    81       0.142860  -11412.991051  -11412.848191        -3.2061         0.0197           0.00      -0.000409
    82       0.153830  -11412.991051  -11412.826848        -3.2491         0.0197           0.00      -0.000409
    83       0.167128  -11412.991051  -11412.819934        -3.1375         0.0197           0.00      -0.000409
    84       0.167128  -11412.990683  -11412.823555        -3.2830         0.0164           0.00      -0.000463
    85       0.152119  -11412.990683  -11412.835624        -3.2690         0.0164           0.00      -0.000463
    86       0.152119  -11412.991412  -11412.839293        -3.1309         0.0230           0.00      -0.000355
    87       0.152119  -11412.983406  -11412.831287        -4.8678        -0.0362           0.00      -0.001222
    88       0.148901  -11412.983406  -11412.828038        -4.6596        -0.0362           0.00      -0.001222
    89       0.134797  -11412.983406  -11412.840185        -4.8478        -0.0362           0.00      -0.001222
    90       0.169788  -11412.983406  -11412.809642        -4.7325        -0.0362           0.00      -0.001222
    91       0.167458  -11412.983406  -11412.816026        -4.5807        -0.0362           0.00      -0.001222
    92       0.167458  -11412.980908  -11412.813450        -5.4119        -0.0503           0.00      -0.001404
    93       0.165140  -11412.980908  -11412.814281        -5.2863        -0.0503           0.00      -0.001404
    94       0.144507  -11412.977555  -11412.833048        -5.2489        -0.0503           0.00      -0.006844
    95       0.144507  -11412.984445  -11412.839938        -3.7217        -0.0053           0.00      -0.006218
    96       0.146221  -11412.984445  -11412.843950        -3.8056        -0.0053           0.00      -0.006218
    97       0.147001  -11412.984445  -11412.833743        -3.7524        -0.0053           0.00      -0.006218
    98       0.147001  -11412.984445  -11412.833743        -3.7210        -0.0053           0.00      -0.007650
    99       0.152183  -11412.984445  -11412.832479        -3.8873        -0.0053           0.00      -0.006218
   100       0.148820  -11412.984445  -11412.821714        -3.8735        -0.0053           0.00      -0.006218
   101       0.148820  -11412.984445  -11412.821714        -3.7318        -0.0053           0.00      -0.007650
   102       0.173278  -11412.984445  -11412.803452        -3.7003        -0.0053           0.00      -0.006218
   103       0.173278  -11412.984445  -11412.803452        -2.6136        -0.0053           0.00      -0.006218
   104       0.173278  -11412.984524  -11412.811246        -3.7041        -0.0047           0.00      -0.006209
   105       0.173278  -11412.982005  -11412.808727        -4.2678        -0.0231           0.00      -0.006472
   106       0.152733  -11412.986116  -11412.833383        -4.4768        -0.0231           0.00      -0.002400
   107       0.152733  -11412.986116  -11412.833383        -6.8299        -0.0231           0.00      -0.006472
   108       0.143405  -11412.986116  -11412.842196        -4.3342        -0.0231           0.00      -0.002400
   109       0.135651  -11412.986116  -11412.839453        -4.2045        -0.0231           0.00      -0.002400
   110       0.135651  -11412.993268  -11412.857617        -3.0134         0.0333           0.00      -0.001600
   111       0.163507  -11412.989661  -11412.826154        -2.9468         0.0333           0.00      -0.006679
   112       0.163507  -11412.989661  -11412.826154        -3.2867         0.0333           0.00      -0.007650
   113       0.163507  -11412.987864  -11412.824357        -2.9410         0.0333           0.00      -0.015412
   114       0.163507  -11412.987864  -11412.824357        -2.9881         0.0333           0.00      -0.015412
   115       0.163507  -11412.987864  -11412.824357        -2.9396         0.0333          -0.00      -0.015412
   116       0.163507  -11412.987864  -11412.824357        -1.5061         0.0333          -0.00      -0.001438
   117       0.163507  -11412.986037  -11412.822531        -3.3159         0.0163          -0.00      -0.015641
   118       0.163507  -11412.983379  -11412.819872        -3.8794        -0.0052          -0.00      -0.015911
   119       0.163507  -11412.983379  -11412.819872        -5.0805        -0.0052          -0.00      -0.015911
   120       0.163507  -11412.979621  -11412.816114        -4.6990        -0.0307          -0.00      -0.016210
   121       0.150626  -11412.979621  -11412.838341        -4.4432        -0.0307          -0.00      -0.016210
   122       0.169082  -11412.987040  -11412.817958        -4.4034        -0.0307          -0.00       0.004437
   123       0.169082  -11412.987040  -11412.817958        -6.8229        -0.0307          -0.00      -0.016210
   124       0.140586  -11412.987040  -11412.842469        -4.4318        -0.0307          -0.00       0.004437
   125       0.154232  -11412.987040  -11412.823551        -4.5887        -0.0307          -0.00       0.004437
   126       0.145508  -11412.987040  -11412.848162        -4.5046        -0.0307          -0.00       0.004437
   127       0.144521  -11412.985595  -11412.841075        -4.3322        -0.0307          -0.00       0.002769
   128       0.144521  -11412.989114  -11412.844594        -3.5313        -0.0047          -0.00       0.003148
   129       0.147921  -11412.989114  -11412.828030        -3.6647        -0.0047          -0.00       0.003148
   130       0.148963  -11412.981740  -11412.832778        -3.4651        -0.0047           0.00       0.000703
   131       0.148963  -11412.980585  -11412.831623        -3.7375        -0.0140           0.00       0.000572
   132       0.148963  -11412.980585  -11412.831623        -2.1113        -0.0140           0.00       0.000572
   133       0.148963  -11412.986326  -11412.837363        -2.3809         0.0414           0.00       0.001410
   134       0.158458  -11412.984830  -11412.826371        -2.3071         0.0414          -0.00       0.002660
   135       0.158458  -11412.984830  -11412.826371        -2.3029         0.0414          -0.00      -0.015412
   136       0.135026  -11412.984830  -11412.848520        -2.3765         0.0414          -0.00       0.002660
   137       0.135026  -11412.984830  -11412.848520        -1.9518         0.0414          -0.00       0.001410
   138       0.135026  -11412.984723  -11412.849697        -2.3044         0.0414           0.00       0.003005
   139       0.141431  -11412.984723  -11412.842047        -2.3447         0.0414           0.00       0.003005
   140       0.143770  -11412.992326  -11412.848557        -2.4495         0.0414           0.00       0.007387
   141       0.131370  -11412.992326  -11412.860573        -2.4751         0.0414           0.00       0.007387
   142       0.131370  -11412.989482  -11412.858112        -3.0907         0.0114           0.00       0.006876
   143       0.131370  -11412.989482  -11412.858112        -2.4728         0.0114           0.00       0.006876
   144       0.152067  -11412.979943  -11412.827875        -2.9527         0.0114           0.00      -0.000940
   145       0.152067  -11412.979943  -11412.827875        -3.0016         0.0114           0.00       0.003005
   146       0.130325  -11412.979943  -11412.856359        -3.0350         0.0114           0.00      -0.000940
   147       0.130325  -11412.974066  -11412.843741        -4.3701        -0.0357           0.00      -0.001616
   148       0.148802  -11412.979809  -11412.831007        -4.3621        -0.0357           0.00      -0.003749
   149       0.140292  -11412.979670  -11412.839378        -4.3152        -0.0357           0.00       0.004872
   150       0.154038  -11412.973897  -11412.819860        -4.3401        -0.0357           0.00       0.004564
   151       0.154038  -11412.974108  -11412.820070        -4.2903        -0.0343           0.00       0.004585
   152       0.161419  -11412.978015  -11412.816597        -4.0870        -0.0343           0.00       0.012934
   153       0.161419  -11412.977254  -11412.815835        -4.2695        -0.0396           0.00       0.012858
   154       0.163805  -11412.975475  -11412.811670        -4.3178        -0.0396           0.00       0.010141
   155       0.163805  -11412.977742  -11412.813938        -3.7668        -0.0233           0.00       0.010396
   156       0.163817  -11412.980674  -11412.816857        -3.7076        -0.0233           0.00      -0.010398
   157       0.163817  -11412.980674  -11412.816857        -6.2253        -0.0233           0.00       0.010396
   158       0.177104  -11412.980674  -11412.803484        -3.6937        -0.0233           0.00      -0.010398
   159       0.156380  -11412.986695  -11412.830315        -3.8195        -0.0233           0.00      -0.000977
   160       0.138779  -11412.983895  -11412.845117        -3.8386        -0.0233          -0.00       0.005063
   161       0.143502  -11412.983895  -11412.825684        -3.8726        -0.0233          -0.00       0.005063
   162       0.145009  -11412.976374  -11412.831365        -3.9438        -0.0233           0.00      -0.001627
   163       0.145009  -11412.981823  -11412.836814        -2.7028         0.0249           0.00      -0.000839
   164       0.145009  -11412.977619  -11412.832610        -3.6569        -0.0138           0.00      -0.001481
   165       0.152166  -11412.982188  -11412.830023        -3.4186        -0.0138           0.00      -0.007355
   166       0.152166  -11412.975915  -11412.823750        -4.9056        -0.0578           0.00      -0.008008
   167       0.144837  -11412.970494  -11412.825657        -5.0490        -0.0578           0.00      -0.001334
   168       0.144837  -11412.966456  -11412.821619        -5.8409        -0.0793           0.00      -0.001646
   169       0.155750  -11412.966456  -11412.793726        -5.7652        -0.0793           0.00      -0.001646
   170       0.155750  -11412.966456  -11412.793726        -5.8330        -0.0793          -0.00       0.003005
   171       0.155750  -11412.966456  -11412.793726        -6.7140        -0.0793          -0.00      -0.001646
   172       0.155750  -11412.964611  -11412.808861        -6.1655        -0.0882          -0.00      -0.001769
   173       0.147362  -11412.966300  -11412.818938        -6.2755        -0.0882          -0.00      -0.001697
   174       0.148414  -11412.954783  -11412.806368        -6.3534        -0.0882           0.00      -0.003921
   175       0.187913  -11412.954783  -11412.763705        -6.1835        -0.0882           0.00      -0.003921
   176       0.135914  -11412.953010  -11412.817096        -6.1678        -0.0882           0.00      -0.010091
   177       0.135914  -11412.953086  -11412.817172        -6.1709        -0.0882           0.00      -0.009696
   178       0.135914  -11412.964389  -11412.828475        -3.8315        -0.0224           0.00      -0.008799
   179       0.135914  -11412.964389  -11412.828475        -3.5930        -0.0224           0.00      -0.008799
   180       0.135914  -11412.964389  -11412.828475        -3.9858        -0.0224           0.00      -0.009696
   181       0.135393  -11412.965268  -11412.829875        -3.8683        -0.0224           0.00      -0.014139
   182       0.135393  -11412.965814  -11412.830421        -3.7392        -0.0182           0.00      -0.014076
   183       0.135393  -11412.965814  -11412.830421        -3.7370        -0.0182          -0.00      -0.009696
   184       0.135393  -11412.965814  -11412.830421        -3.7372        -0.0182          -0.00      -0.009696
   185       0.176767  -11412.965814  -11412.805168        -3.9026        -0.0182           0.00      -0.014076
   186       0.173146  -11412.961665  -11412.788519        -3.9472        -0.0182           0.00       0.001507
   187       0.173146  -11412.963233  -11412.790087        -3.5987        -0.0061           0.00       0.001715
   188       0.173146  -11412.960676  -11412.787531        -4.1655        -0.0253           0.00       0.001388
   189       0.163888  -11412.969438  -11412.805550        -4.0841        -0.0253           0.00      -0.014382
   190       0.150430  -11412.965551  -11412.815121        -4.1799        -0.0253           0.00      -0.015111
   191       0.150430  -11412.965551  -11412.815121        -2.8614        -0.0253           0.00       0.001388
   192       0.158848  -11412.965551  -11412.809276        -4.1912        -0.0253           0.00      -0.015111
   193       0.158029  -11412.972835  -11412.814806        -4.0148        -0.0253           0.00      -0.002002
   194       0.158029  -11412.972835  -11412.814806        -2.1584        -0.0253           0.00       0.001388
   195       0.147996  -11412.972835  -11412.819091        -3.9665        -0.0253           0.00      -0.002002
   196       0.147996  -11412.971313  -11412.823317        -4.3558        -0.0358           0.00      -0.002172
   197       0.147996  -11412.971313  -11412.823317        -2.4083        -0.0358           0.00      -0.002172
   198       0.149074  -11412.951816  -11412.802742        -4.2349        -0.0358           0.00      -0.003763
   199       0.149074  -11412.947613  -11412.798539        -5.1390        -0.0619           0.00      -0.004128
   200       0.151176  -11412.960503  -11412.809327        -5.3032        -0.0619           0.00       0.002057
   201       0.151176  -11412.956710  -11412.805534        -6.0003        -0.0814           0.00       0.001775
   202       0.164711  -11412.954281  -11412.789571        -5.8947        -0.0814           0.00       0.010834
   203       0.164711  -11412.954281  -11412.789571        -5.9868        -0.0814           0.00      -0.009696
   204       0.175966  -11412.954281  -11412.779281        -6.0181        -0.0814           0.00       0.010834
   205       0.175966  -11412.963817  -11412.787851        -3.8643        -0.0243           0.00       0.011719
   206       0.146572  -11412.952846  -11412.806274        -4.1364        -0.0243           0.00       0.003177
   207       0.153177  -11412.961175  -11412.807998        -4.2571        -0.0243           0.00       0.004846
   208       0.155043  -11412.961175  -11412.816879        -4.2345        -0.0243           0.00       0.004846
   209       0.164420  -11412.963394  -11412.798974        -4.2607        -0.0243           0.00      -0.007145
   210       0.128967  -11412.954907  -11412.825940        -4.2243        -0.0243           0.00      -0.000457
   211       0.128967  -11412.948951  -11412.819984        -5.5010        -0.0600           0.00      -0.000984
   212       0.139646  -11412.953079  -11412.813434        -5.3099        -0.0600           0.00      -0.010508
   213       0.139646  -11412.953079  -11412.813434        -7.1339        -0.0600           0.00      -0.000984
   214       0.139646  -11412.962677  -11412.823031        -3.1975         0.0066           0.00      -0.009418
   215       0.139646  -11412.963334  -11412.823689        -3.0493         0.0127           0.00      -0.009304
   216       0.139646  -11412.963334  -11412.823689        -1.6264         0.0127           0.00      -0.009304
   217       0.139646  -11412.960425  -11412.820780        -3.7066        -0.0123           0.00      -0.009755
   218       0.157846  -11412.960425  -11412.804373        -3.6558        -0.0123           0.00      -0.009755
   219       0.157846  -11412.960413  -11412.802567        -3.7069        -0.0123           0.00      -0.010188
   220       0.157846  -11412.956589  -11412.798743        -4.5635        -0.0393           0.00      -0.010629
   221       0.157846  -11412.956616  -11412.798770        -4.5614        -0.0393           0.00      -0.009711
   222       0.157846  -11412.957837  -11412.799991        -4.2909        -0.0312           0.00      -0.009583
   223       0.157846  -11412.949198  -11412.791353        -6.0588        -0.0799           0.00      -0.010306
   224       0.157846  -11412.949198  -11412.791353        -6.1412        -0.0799           0.00      -0.009711
   225       0.157846  -11412.957628  -11412.799782        -4.3375        -0.0326           0.00      -0.009606
   226       0.157846  -11412.957628  -11412.799782        -5.7518        -0.0326           0.00      -0.009606
   227       0.157846  -11412.957628  -11412.799782        -5.8135        -0.0326           0.00      -0.009606
   228       0.146049  -11412.957628  -11412.809753        -4.3582        -0.0326           0.00      -0.009606
   229       0.146049  -11412.963605  -11412.817557        -2.9884         0.0152           0.00      -0.008768
   230       0.146049  -11412.963605  -11412.817557        -1.5813         0.0152           0.00      -0.008768
   231       0.146049  -11412.963433  -11412.817384        -3.0273         0.0136           0.00      -0.008800
   232       0.166832  -11412.954934  -11412.788103        -2.9934         0.0136           0.00       0.000767
   233       0.166832  -11412.949376  -11412.782545        -4.2543        -0.0314           0.00       0.000034
   234       0.166832  -11412.949376  -11412.782545        -4.2553        -0.0314           0.00      -0.009711
   235       0.166832  -11412.942178  -11412.775347        -5.7685        -0.0732           0.00      -0.000558
   236       0.166832  -11412.952220  -11412.785388        -3.6086        -0.0104           0.00       0.000361
   237       0.146090  -11412.945219  -11412.799130        -3.6449        -0.0104           0.00      -0.008353
   238       0.180819  -11412.961254  -11412.780436        -3.5113        -0.0104           0.00       0.004295
   239       0.155943  -11412.961254  -11412.792178        -3.5627        -0.0104           0.00       0.004295
   240       0.131828  -11412.961254  -11412.813164        -3.7422        -0.0104           0.00       0.004295
   241       0.131828  -11412.961254  -11412.813164        -2.3756        -0.0104           0.00       0.000361
   242       0.131828  -11412.961254  -11412.813164        -1.9283        -0.0104           0.00       0.000361
   243       0.131828  -11412.961254  -11412.813164        -2.9933        -0.0104           0.00       0.000361
   244       0.131828  -11412.955258  -11412.823430        -4.8830        -0.0521           0.00       0.003617
   245       0.131828  -11412.958802  -11412.826974        -4.0833        -0.0291           0.00       0.003979
   246       0.152583  -11412.955462  -11412.802879        -4.1901        -0.0291           0.00       0.007516
   247       0.152583  -11412.957830  -11412.805247        -3.6583        -0.0116           0.00       0.007808
   248       0.152583  -11412.956625  -11412.804042        -3.9292        -0.0208           0.00       0.007652
   249       0.152583  -11412.958798  -11412.806214        -3.4413        -0.0037           0.00       0.007946
   250       0.150278  -11412.974783  -11412.824505        -3.3626        -0.0037           0.00      -0.010907
   251       0.150278  -11412.974783  -11412.824505        -1.9102        -0.0037           0.00       0.007946
   252       0.150278  -11412.974783  -11412.824505        -3.4311        -0.0037           0.00      -0.009711
   253       0.150278  -11412.974783  -11412.824505        -2.2826        -0.0037           0.00       0.007946
   254       0.150278  -11412.976771  -11412.826493        -2.8985         0.0148           0.00      -0.010553
   255       0.133481  -11412.976771  -11412.820197        -2.9448         0.0148           0.00      -0.010553
   256       0.133481  -11412.976771  -11412.820197        -1.9798         0.0148           0.00      -0.010553
   257       0.133481  -11412.976771  -11412.820197        -1.4695         0.0148           0.00      -0.010553
   258       0.167597  -11412.970369  -11412.802771        -2.9065         0.0148           0.00       0.008228
   259       0.167597  -11412.970369  -11412.802771        -3.0329         0.0148           0.00      -0.009711
   260       0.167597  -11412.970522  -11412.802925        -2.8700         0.0163           0.00       0.008262
   261       0.166395  -11412.976161  -11412.809766        -2.9072         0.0163           0.00       0.005887
   262       0.144468  -11412.979905  -11412.835436        -3.0196         0.0163           0.00       0.006565
   263       0.147750  -11412.976918  -11412.829168        -2.9031         0.0163           0.00       0.007701
   264       0.163282  -11412.976918  -11412.807491        -2.7653         0.0163           0.00       0.007701
   265       0.163282  -11412.976918  -11412.807491        -1.5422         0.0163           0.00       0.008262
   266       0.169303  -11412.976918  -11412.807665        -2.9106         0.0163           0.00       0.007701
   267       0.155678  -11412.992311  -11412.836633        -2.9092         0.0163           0.00       0.001769
