 Steps         KinEng         PotEng         TotEng          dE_dN        ElecNum       RxnCoord      MeanForce
     0       0.000000  -11412.985269  -11412.985269        -4.7509         0.0000          -1.60       0.003195
     1       0.000000  -11412.985269  -11412.985269        -7.0517         0.0000          -1.60       0.003195
     2       0.000000  -11412.994519  -11412.994519        -3.1392         0.0687          -1.60       0.003970
     3       0.151063  -11412.991407  -11412.840344        -3.0879         0.0687          -1.60       0.001944
     4       0.164296  -11412.982947  -11412.818651        -3.0119         0.0687          -1.60      -0.001266
     5       0.173790  -11412.982947  -11412.812089        -3.1073         0.0687          -1.60      -0.001266
     6       0.173790  -11412.982947  -11412.812089        -2.9100         0.0687          -1.60       0.003195
     7       0.151446  -11412.982947  -11412.833498        -3.0963         0.0687          -1.60      -0.001266
     8       0.156343  -11412.988070  -11412.831726        -3.0427         0.0687          -1.60      -0.003394
     9       0.156343  -11412.983847  -11412.827504        -3.8452         0.0330          -1.60      -0.003854
    10       0.156343  -11412.983847  -11412.827504        -3.8587         0.0330          -1.60       0.003195
    11       0.156343  -11412.984700  -11412.828357        -3.8466         0.0330          -1.60      -0.005281
    12       0.145297  -11412.979317  -11412.834020        -3.8348         0.0330          -1.60      -0.008598
    13       0.154286  -11412.980913  -11412.826627        -3.9342         0.0330          -1.60      -0.002495
    14       0.162585  -11412.980913  -11412.809065        -3.8968         0.0330          -1.60      -0.002495
    15       0.141336  -11412.980696  -11412.839360        -4.1194         0.0330          -1.60       0.007066
    16       0.141336  -11412.980696  -11412.839360        -4.2169         0.0330          -1.60      -0.005281
    17       0.141336  -11412.981710  -11412.840374        -3.9508         0.0403          -1.60       0.007161
    18       0.141336  -11412.981710  -11412.840374        -5.4365         0.0403          -1.60       0.007161
    19       0.151796  -11412.993011  -11412.841214        -3.5134         0.0403          -1.60       0.007283
    20       0.143275  -11412.993011  -11412.849100        -3.7669         0.0403          -1.60       0.007283
    21       0.138835  -11412.993011  -11412.846814        -3.5918         0.0403          -1.60       0.007283
    22       0.146567  -11412.993011  -11412.845478        -3.5497         0.0403          -1.60       0.007283
    23       0.146567  -11412.995814  -11412.849247        -2.9423         0.0656          -1.60       0.007612
    24       0.141402  -11412.983374  -11412.841972        -3.1780         0.0656          -1.60       0.002976
    25       0.168594  -11412.995940  -11412.827347        -3.1094         0.0656          -1.60       0.005337
    26       0.168594  -11412.997835  -11412.829241        -2.6847         0.0845          -1.60       0.005572
    27       0.168594  -11412.997835  -11412.829241        -0.7463         0.0845          -1.60       0.005572
    28       0.168594  -11412.997835  -11412.829241        -2.7882         0.0845          -1.60      -0.005281
    29       0.123779  -11412.997835  -11412.862119        -2.6785         0.0845          -1.60       0.005572
    30       0.128024  -11412.997835  -11412.858790        -2.8357         0.0845          -1.60       0.005572
    31       0.128024  -11412.992908  -11412.864884        -3.6920         0.0397          -1.60       0.005016
    32       0.128024  -11412.992908  -11412.864884        -2.3826         0.0397          -1.60       0.005016
    33       0.176999  -11412.990859  -11412.813860        -3.6862         0.0397          -1.60       0.020457
    34       0.176999  -11412.990033  -11412.813034        -3.8354         0.0333          -1.60       0.020369
    35       0.176999  -11412.986001  -11412.809002        -4.5476         0.0053          -1.60       0.019985
    36       0.176999  -11412.990942  -11412.813943        -3.6712         0.0403          -1.60       0.020466
    37       0.176999  -11412.993277  -11412.816277        -3.2288         0.0600          -1.60       0.020737
    38       0.165327  -11412.998427  -11412.833100        -3.2765         0.0600          -1.60       0.004160
    39       0.165327  -11412.991840  -11412.826514        -4.4275         0.0101          -1.60       0.003539
    40       0.142952  -11412.994599  -11412.851647        -4.5245         0.0101          -1.60      -0.004411
    41       0.141884  -11412.994599  -11412.848422        -4.4856         0.0101          -1.60      -0.004411
    42       0.141884  -11413.000148  -11412.858264        -3.5900         0.0499          -1.60      -0.003949
    43       0.143834  -11412.988324  -11412.844490        -3.7157         0.0499          -1.60       0.001613
    44       0.181924  -11412.996351  -11412.814426        -3.6368         0.0499          -1.60      -0.005373
    45       0.147855  -11412.981340  -11412.833486        -3.8289         0.0499          -1.60       0.004807
    46       0.146018  -11412.983453  -11412.837435        -3.9681         0.0499          -1.60      -0.001030
    47       0.146018  -11412.978468  -11412.832450        -4.7334         0.0166          -1.60      -0.001411
    48       0.146018  -11412.988267  -11412.842249        -3.1326         0.0893          -1.60      -0.000569
    49       0.146018  -11412.987961  -11412.841943        -3.1251         0.0893          -1.60      -0.002645
    50       0.146018  -11412.987961  -11412.841943        -1.8226         0.0893          -1.60      -0.000509
    51       0.155121  -11412.995904  -11412.840783        -3.1951         0.0893          -1.60       0.006512
    52       0.155121  -11412.990375  -11412.835254        -4.1629         0.0457          -1.60       0.005983
    53       0.155121  -11412.995507  -11412.840386        -3.2768         0.0857          -1.60       0.006468
    54       0.155121  -11412.995481  -11412.840360        -3.2622         0.0857          -1.60       0.002801
    55       0.140169  -11412.987230  -11412.847061        -3.1203         0.0857          -1.60      -0.003344
    56       0.140169  -11412.982789  -11412.842619        -3.9254         0.0491          -1.60      -0.003760
    57       0.140169  -11412.982789  -11412.842619        -5.1113         0.0491          -1.60      -0.003760
    58       0.140169  -11412.982789  -11412.842619        -2.9465         0.0491          -1.60      -0.003760
