 Steps         KinEng         PotEng         TotEng          dE_dN        ElecNum       RxnCoord      MeanForce
     0       0.000000  -11412.987765  -11412.987765        -2.1860         0.0000           2.60       0.005132
     1       0.167341  -11412.990678  -11412.823337        -2.2973         0.0000           2.60       0.003004
     2       0.150328  -11412.990678  -11412.839995        -2.3987         0.0000           2.60       0.003004
     3       0.143054  -11412.996135  -11412.853081        -2.2481         0.0000           2.60       0.004244
     4       0.143054  -11412.996135  -11412.853081        -1.3784         0.0000           2.60       0.005132
     5       0.143054  -11412.996135  -11412.853081        -2.5836         0.0000           3.00       0.005148
     6       0.162034  -11412.996135  -11412.819684        -2.2533         0.0000           2.60       0.004244
     7       0.162034  -11412.991445  -11412.829411        -3.6639        -0.0464           2.60       0.003741
     8       0.162034  -11412.991445  -11412.829411        -5.7875        -0.0464           2.60       0.003741
     9       0.162034  -11412.988335  -11412.826301        -4.4117        -0.0688           2.60       0.003476
    10       0.162034  -11412.988335  -11412.826301        -4.3670        -0.0688           3.00       0.005148
    11       0.146243  -11412.981296  -11412.835052        -4.4549        -0.0688           3.00       0.019201
    12       0.147255  -11412.981296  -11412.819617        -4.5786        -0.0688           3.00       0.019201
    13       0.147255  -11412.980003  -11412.832748        -4.7231        -0.0770           3.00       0.019122
    14       0.163333  -11412.969296  -11412.805963        -4.6879        -0.0770           3.00       0.022468
    15       0.163333  -11412.969296  -11412.805963        -4.6704        -0.0770           3.00       0.005148
    16       0.175613  -11412.969296  -11412.788061        -4.6426        -0.0770           3.00       0.022468
    17       0.175613  -11412.969296  -11412.788061        -5.3131        -0.0770           3.00       0.019122
    18       0.175613  -11412.977270  -11412.801657        -2.7315        -0.0142           3.00       0.023005
    19       0.162876  -11412.990017  -11412.827141        -2.7339        -0.0142           3.00       0.025164
    20       0.162876  -11412.990017  -11412.827141        -2.7246        -0.0142           3.00       0.005148
    21       0.130374  -11412.980373  -11412.849999        -2.7241        -0.0142           3.00       0.020514
