 Steps         KinEng         PotEng         TotEng          dE_dN        ElecNum       RxnCoord      MeanForce
     0       0.000000  -11412.976307  -11412.976307        -3.1182         0.0000           2.20      -0.002312
     1       0.000000  -11412.978557  -11412.978557        -2.3723         0.0239           2.20      -0.002283
     2       0.000000  -11412.970447  -11412.970447        -4.7723        -0.0434           2.20      -0.002375
     3       0.000000  -11412.970447  -11412.970447        -6.3312        -0.0434           2.20      -0.002375
     4       0.000000  -11412.970447  -11412.970447        -7.4154        -0.0434           2.20      -0.002375
     5       0.000000  -11412.970447  -11412.970447        -6.5038        -0.0434           2.20      -0.002375
     6       0.000000  -11412.977523  -11412.977523        -2.7255         0.0121           2.20      -0.002297
     7       0.000000  -11412.977523  -11412.977523        -1.6794         0.0121           2.20      -0.002297
     8       0.153712  -11412.984141  -11412.830429        -2.9508         0.0121           2.20      -0.008792
     9       0.128699  -11412.976423  -11412.847725        -2.7195         0.0121           2.20      -0.013196
    10       0.153907  -11412.985597  -11412.831690        -2.9678         0.0121           2.20      -0.025830
    11       0.153907  -11412.985597  -11412.831690        -1.6562         0.0121           2.20      -0.002297
    12       0.153907  -11412.984279  -11412.830372        -2.9672         0.0121           2.20      -0.030336
    13       0.159639  -11412.987815  -11412.828176        -2.8267         0.0121           2.20      -0.014011
    14       0.159639  -11412.987815  -11412.828176        -2.2975         0.0121           2.20      -0.001618
    15       0.159639  -11412.987815  -11412.828176        -1.1892         0.0121           2.20      -0.001618
    16       0.159639  -11412.987815  -11412.828176        -2.1369         0.0121           2.20      -0.001618
    17       0.159639  -11412.986551  -11412.826911        -3.2202        -0.0000           2.20      -0.014033
    18       0.145786  -11412.986551  -11412.833525        -3.0370        -0.0000           2.20      -0.014033
    19       0.129374  -11412.971815  -11412.842440        -3.2011        -0.0000           2.20      -0.005029
    20       0.183068  -11412.971815  -11412.793552        -3.1438        -0.0000           2.20      -0.005029
    21       0.183068  -11412.971815  -11412.793552        -6.1154        -0.0000           2.20      -0.014033
    22       0.183068  -11412.971815  -11412.793552        -5.6170        -0.0000           2.20      -0.014033
    23       0.183068  -11412.971815  -11412.793552        -3.1943        -0.0000           2.20      -0.030336
    24       0.183068  -11412.963619  -11412.780552        -5.3734        -0.0561           2.20      -0.005098
    25       0.158134  -11412.968176  -11412.810042        -5.3681        -0.0561           2.20      -0.002141
    26       0.158134  -11412.967698  -11412.809564        -5.4713        -0.0587           2.20      -0.002142
    27       0.158134  -11412.967698  -11412.809564        -7.5976        -0.0587           2.20      -0.002142
    28       0.156272  -11412.967698  -11412.798635        -5.2543        -0.0587           2.20      -0.002142
    29       0.156272  -11412.967698  -11412.798635        -7.6216        -0.0587           2.20      -0.002142
    30       0.156272  -11412.971593  -11412.815321        -4.5663        -0.0361           2.20      -0.002125
    31       0.156272  -11412.973267  -11412.816995        -4.1320        -0.0250           2.20      -0.002114
    32       0.149314  -11412.979127  -11412.829814        -4.2788        -0.0250           2.20      -0.005611
    33       0.149314  -11412.979127  -11412.829814        -2.0644        -0.0250           2.20      -0.002114
    34       0.154491  -11412.979127  -11412.831083        -4.1894        -0.0250           2.20      -0.005611
    35       0.154491  -11412.980746  -11412.826256        -3.8477        -0.0134           2.20      -0.005605
    36       0.154491  -11412.980746  -11412.826256        -6.6000        -0.0134           2.20      -0.005605
    37       0.123257  -11412.980746  -11412.851820        -3.7465        -0.0134           2.20      -0.005605
    38       0.133600  -11412.975418  -11412.841818        -4.0821        -0.0134           2.20      -0.007847
    39       0.134130  -11412.978426  -11412.844296        -3.9020        -0.0134           2.20      -0.016160
    40       0.134130  -11412.978426  -11412.844296        -5.2345        -0.0134           2.20      -0.005605
    41       0.134130  -11412.978426  -11412.844296        -3.8996        -0.0134           2.20      -0.030336
    42       0.134130  -11412.978426  -11412.844296        -6.4076        -0.0134           2.20      -0.005605
    43       0.167305  -11412.978426  -11412.800464        -3.9706        -0.0134           2.20      -0.016160
    44       0.167305  -11412.978426  -11412.800464        -4.2141        -0.0134           2.20      -0.030336
    45       0.167305  -11412.978426  -11412.800464        -2.9285        -0.0134           2.20      -0.005605
    46       0.165936  -11412.966822  -11412.800886        -3.9619        -0.0134           2.20      -0.013795
    47       0.165936  -11412.962630  -11412.796695        -5.0149        -0.0405           2.20      -0.013776
    48       0.165936  -11412.962630  -11412.796695        -6.2760        -0.0405           2.20      -0.013776
    49       0.145594  -11412.962630  -11412.834702        -5.1265        -0.0405           2.20      -0.013776
    50       0.145594  -11412.962630  -11412.834702        -5.0315        -0.0405           2.20      -0.030336
    51       0.177367  -11412.962630  -11412.801544        -5.2186        -0.0405           2.20      -0.013776
    52       0.153564  -11412.971790  -11412.818227        -4.8508        -0.0405           2.20      -0.003411
    53       0.156385  -11412.971790  -11412.810396        -5.0538        -0.0405           2.20      -0.003411
    54       0.133642  -11412.966139  -11412.832497        -5.2402        -0.0405           2.20       0.008290
    55       0.141950  -11412.966139  -11412.830222        -5.1076        -0.0405           2.20       0.008290
    56       0.141950  -11412.966139  -11412.830222        -5.2376        -0.0405           2.20      -0.030336
    57       0.141950  -11412.966139  -11412.830222        -6.5166        -0.0405           2.20      -0.013776
    58       0.155003  -11412.966139  -11412.822480        -5.1099        -0.0405           2.20       0.008290
    59       0.155003  -11412.966139  -11412.822480        -7.9850        -0.0405           2.20      -0.013776
    60       0.159532  -11412.962858  -11412.803327        -5.1856        -0.0405           2.20      -0.002201
    61       0.152802  -11412.972562  -11412.819761        -4.9449        -0.0405           2.20       0.004201
    62       0.152802  -11412.972562  -11412.819761        -4.6109        -0.0405           2.20      -0.030336
    63       0.152802  -11412.972562  -11412.819761        -4.9973        -0.0405           2.20      -0.030336
    64       0.152802  -11412.970408  -11412.817606        -5.4283        -0.0526           2.20       0.004185
    65       0.166903  -11412.970408  -11412.801023        -5.5819        -0.0526           2.20       0.004185
    66       0.166903  -11412.968663  -11412.801761        -5.7883        -0.0616           2.20       0.004175
