 Steps         KinEng         PotEng         TotEng          dE_dN        ElecNum       RxnCoord      MeanForce
     0       0.000000  -11412.963770  -11412.963770        -2.4780         0.0000           0.80      -0.016285
     1       0.136525  -11412.959461  -11412.822936        -2.3729         0.0000           0.80      -0.027721
     2       0.158471  -11412.965674  -11412.807203        -2.3071         0.0000           0.80      -0.013616
     3       0.158471  -11412.965674  -11412.807203        -0.7041         0.0000           0.80      -0.016285
     4       0.158471  -11412.962332  -11412.803861        -3.4811        -0.0337           0.80      -0.014670
     5       0.138915  -11412.954215  -11412.815300        -3.3219        -0.0337           0.80      -0.019078
     6       0.138915  -11412.947878  -11412.808963        -4.9769        -0.0780           0.80      -0.020388
     7       0.138915  -11412.947878  -11412.808963        -4.9626        -0.0780           0.80      -0.016285
     8       0.167216  -11412.947878  -11412.786114        -5.0802        -0.0780           0.80      -0.020388
     9       0.167216  -11412.947878  -11412.786114        -6.7618        -0.0780           0.80      -0.020388
    10       0.161203  -11412.947878  -11412.785824        -4.9774        -0.0780           0.80      -0.020388
    11       0.161203  -11412.947878  -11412.785824        -5.3479        -0.0780           0.80      -0.016285
    12       0.156800  -11412.947878  -11412.800555        -5.0170        -0.0780           0.80      -0.020388
    13       0.156800  -11412.947878  -11412.800555        -2.3198        -0.0780           0.80      -0.020388
    14       0.156800  -11412.947878  -11412.800555        -6.6318        -0.0780           0.80      -0.020388
    15       0.156800  -11412.943334  -11412.786534        -5.8007        -0.1024           0.80      -0.021015
    16       0.165929  -11412.943226  -11412.777298        -5.8862        -0.1024           0.80      -0.023386
    17       0.165929  -11412.943162  -11412.777233        -5.8882        -0.1024           0.80      -0.022382
    18       0.156532  -11412.937116  -11412.780584        -6.0582        -0.1024           0.80      -0.020210
    19       0.185968  -11412.947319  -11412.761352        -5.8037        -0.1024           0.80      -0.010110
    20       0.167479  -11412.943576  -11412.776097        -5.8106        -0.1024           0.80      -0.005405
    21       0.167257  -11412.938686  -11412.771430        -5.7951        -0.1024           0.80      -0.003891
    22       0.161736  -11412.941997  -11412.780260        -6.0949        -0.1024           0.80      -0.009786
    23       0.156023  -11412.937159  -11412.781136        -5.8400        -0.1024           0.80      -0.011251
    24       0.156023  -11412.944033  -11412.788010        -4.4568        -0.0639           0.80      -0.010384
    25       0.154381  -11412.940370  -11412.785990        -4.5460        -0.0639           0.80      -0.016581
    26       0.154381  -11412.940370  -11412.785990        -6.3819        -0.0639           0.80      -0.010384
    27       0.172726  -11412.940370  -11412.780961        -4.5436        -0.0639           0.80      -0.016581
    28       0.171894  -11412.937627  -11412.765734        -4.4961        -0.0639           0.80      -0.017108
    29       0.154613  -11412.945619  -11412.791005        -4.4366        -0.0639           0.80       0.003162
    30       0.154613  -11412.945619  -11412.791005        -4.4350        -0.0639           0.80      -0.022382
    31       0.160085  -11412.945619  -11412.791620        -4.3349        -0.0639           0.80       0.003162
    32       0.163552  -11412.945619  -11412.788041        -4.4281        -0.0639           0.80       0.003162
    33       0.163552  -11412.945619  -11412.788041        -4.3812        -0.0639           0.80      -0.022382
    34       0.163552  -11412.945619  -11412.788041        -2.0986        -0.0639           0.80      -0.010384
    35       0.165724  -11412.945619  -11412.787785        -4.2164        -0.0639           0.80       0.003162
    36       0.165724  -11412.945619  -11412.787785        -6.2295        -0.0639           0.80      -0.010384
    37       0.165724  -11412.942386  -11412.776662        -5.1824        -0.0834           0.80       0.002726
    38       0.165724  -11412.950271  -11412.784548        -3.0388        -0.0277           0.80       0.004090
    39       0.154351  -11412.950271  -11412.789398        -2.8761        -0.0277           0.80       0.004090
    40       0.154351  -11412.944056  -11412.789704        -4.8182        -0.0737           0.80       0.002937
    41       0.154351  -11412.944056  -11412.789704        -6.1652        -0.0737           0.80       0.002937
    42       0.154351  -11412.944056  -11412.789704        -6.6582        -0.0737           0.80       0.002937
    43       0.154351  -11412.949927  -11412.795576        -3.1576        -0.0309           0.80       0.004001
    44       0.154351  -11412.949927  -11412.795576        -3.1499        -0.0309           0.80      -0.022382
    45       0.160035  -11412.949927  -11412.787720        -3.1527        -0.0309           0.80       0.004001
    46       0.148077  -11412.946116  -11412.798039        -3.2021        -0.0309           0.80      -0.005027
    47       0.148077  -11412.946116  -11412.798039        -1.5608        -0.0309           0.80       0.004001
    48       0.172736  -11412.946116  -11412.788799        -3.4013        -0.0309           0.80      -0.005027
    49       0.172736  -11412.944840  -11412.772105        -3.6101        -0.0418           0.80      -0.005323
    50       0.172736  -11412.944840  -11412.772105        -2.2573        -0.0418           0.80      -0.005323
    51       0.172736  -11412.944840  -11412.772105        -6.0352        -0.0418           0.80      -0.005323
    52       0.160936  -11412.952529  -11412.791594        -3.8684        -0.0418           0.80      -0.022019
    53       0.160936  -11412.952529  -11412.791594        -5.4786        -0.0418           0.80      -0.005323
    54       0.160936  -11412.952529  -11412.791594        -5.8944        -0.0418           0.80      -0.005323
    55       0.177386  -11412.952529  -11412.799105        -3.8997        -0.0418           0.80      -0.022019
    56       0.177386  -11412.946433  -11412.769047        -5.3773        -0.0800           0.80      -0.022879
    57       0.177386  -11412.946433  -11412.769047        -7.1169        -0.0800           0.80      -0.022879
    58       0.177386  -11412.946433  -11412.769047        -5.3641        -0.0800           0.80      -0.022382
    59       0.167355  -11412.946433  -11412.779511        -5.3239        -0.0800           0.80      -0.022879
    60       0.160300  -11412.953243  -11412.792943        -5.0916        -0.0800           0.80      -0.017266
    61       0.147671  -11412.963585  -11412.815915        -5.1504        -0.0800           0.80      -0.008548
    62       0.165815  -11412.962271  -11412.796456        -5.1916        -0.0800           0.80      -0.021760
    63       0.142966  -11412.954798  -11412.811832        -5.0438        -0.0800           0.80      -0.020137
